,Location,Latitude,Longitude,Altitude
107,Bhokraha Narsing Rural Municipality,26.63086,87.10128,95.0
108,Dewanganj Rural Municipality,26.45179,87.13805,78.0
109,Gadhi Rural Municipality,26.5642,87.18368,84.0
110,Harinagar Rural Municipality,26.5013,87.12162,81.0
111,Koshi Rural Municipality,26.649992735,87.169251629,96.0
112,Dharan Sub-Metropolitian City,26.80708,87.28475,350.0
113,Itahari Sub-Metropolitian City,26.6631,87.27377,117.0
114,Phungling Municipality,27.36118,87.65222,1448.0
115,Aathrai Tribeni Rural Municipality,27.31899,87.61039,1391.0
116,Maiwakhola Rural Municipality,27.38971,87.5041,2806.0
117,Meringden Rural Municipality,26.99653,87.71286,2154.0
118,Mikwakhola Rural Municipality,27.55884,87.61268,2782.0
119,Pathivara Yangwarak Rural Municipality,27.32514,87.73428,1921.0
120,Phaktanglung Rural Municipality,27.68142,87.92025,4927.0
121,Sidingba Rural Municipality,27.35794,87.94596,2603.0
122,Sirijangha Rural Municipality,27.49426,87.96349,3481.0
123,Laligurans Municipality,27.12937,87.45301,1710.0
124,Myanglung Municipality,27.10363,87.54679,1655.0
125,Aathrai Rural Municipality,27.20727,87.68447,1600.0
126,Chhathar Rural Municipality,26.9847,87.4709,721.0
127,Menchayam Rural Municipality,27.154443422,87.548968457,1062.0
128,Phedap Rural Municipality,27.1964,87.57914,2192.0
129,Belaka Municipality,26.81696,87.05432,146.0
130,Chaudandigadhi Municipality,26.87973,86.93684,965.0
131,Katari Municipality,26.955,86.37841,218.0
132,Triyuga Municipality,26.7919,86.699,165.0
133,Limchungbung Rural Municipality,26.903076703,86.681347466,1075.0
134,Rautamai Rural Municipality,26.93522,86.69906,1795.0
135,Tapli Rural Municipality,27.08591,86.53682,599.0
136,Udayapurgadhi Rural Municipality,26.91515,86.55004,682.0
137,Kolhabi Municipality,27.09226,85.14446,115.0
138,Mahagadhimai Municipality,26.98198,85.05344,96.0
139,Nijgadh Municipality,27.20986,85.14178,189.0
140,Pacharauta Municipality,26.909,85.07907,83.0
141,Simraungadh Municipality,26.89957,85.13285,83.0
142,Adarshkotwal Rural Municipality,26.94569,85.14527,90.0
143,Baragadhi Rural Municipality,27.03777,85.12796,98.0
144,Bishrampur Rural Municipality,27.08282,85.39485,127.0
145,Devtal Rural Municipality,26.94815,85.01322,87.0
146,Karaiyamai Rural Municipality,27.02564,85.10103,98.0
147,Parwanipur Rural Municipality,27.12512,85.74784,409.0
148,Pheta Rural Municipality,27.00674,84.94309,89.0
149,Prasauni Rural Municipality,27.08446,85.11327,112.0
150,Suwarna Rural Municipality,26.92622,85.06191,83.0
151,Jitpur Simara Sub-Metropolitian City,27.21465,85.01468,201.0
152,Kalaiya Sub-Metropolitian City,27.67465,85.32364,1326.0
153,Bideha Municipality,26.68535,86.06249,79.0
154,Chhireshwornath Municipality,26.84729,85.96202,112.0
155,Dhanusadham Municipality,26.88194,86.03908,135.0
156,Ganeshman Charnath Municipality,26.92745,86.21001,225.0
157,Hansapur Municipality,28.17034,84.641,1445.0
158,Kamala Municipality,26.85116,86.03592,116.0
159,Mithila Bihari Municipality,26.79502,86.01362,97.0
160,Mithila Municipality,26.99735,85.97365,313.0
161,Nagarain Municipality,26.66034,85.93633,72.0
162,Sabaila Municipality,26.79502,86.10218,93.0
163,Sahidnagar Municipality,26.73352,86.09848,88.0
164,Aaurahi Rural Municipality,26.6917,86.00311,73.0
165,Bateshwor Rural Municipality,26.91822,85.92106,162.0
166,Dhanauji Rural Municipality,26.67741,85.99672,76.0
167,Janaknandani Rural Municipality,26.63676,86.12911,75.0
168,Lakshminiya Rural Municipality,27.13828,85.23707,156.0
169,Mukhiyapatti Musarmiya Rural Municipality,26.60232,85.88213,64.0
170,Janakpurdham Sub-Metropolitian City,26.72882,85.92628,83.0
171,Aurahi Municipality,26.89756,85.81682,119.0
172,Balwa Municipality,26.77124,85.81752,84.0
173,Bardibas Municipality,26.97885,85.88683,202.0
174,Bhangaha Municipality,26.85139,85.87116,102.0
