Location,T2M,T2MWET,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS50M,WS50M_MAX,WS50M_MIN
laxmanpur_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Bejapur_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Khakhusm_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Fattepur_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Chakiya_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Nepalgunj_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Goltakuri_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
jamuni_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Banke_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Pauda_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Udarapur_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Kanchanpur_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Laukahi_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Baijnath Purwa_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Sorhawa_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Gulariya_std,6.944297449,7.141965945,7.897564049,6.528326956,7.149105171,22.40041646,8.01385702,0.676602392,1.079507919,1.82312712,0.817615005,1.669249814,2.168691773,1.396486705
Sarpanegarpa_std,5.825072643,6.71798508,7.06169484,5.650244091,5.716324919,22.85204439,8.550356673,0.512174072,0.881766834,1.559690222,0.671741678,1.300774678,1.909838329,1.131913166
Naubasta_std,6.388115645,6.933632253,7.51044189,6.191125296,6.268718256,22.35555647,8.238466438,0.624155487,0.89875636,1.615562119,0.684726404,1.381013637,1.9111968,1.193352336
Deudakala_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Kavra_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Chhinchu_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Kalimati Kalche_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Sinwang_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
bardiya_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Bela_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Kabhrechaur II_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Kabhrechaur I_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Bardiya NP_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Lekhpokhara_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Salyan_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Rajapur_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Gothi_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
NRASG_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Vheriganga-6_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Melelkuna_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Majhkanda_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Bheriganga_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Jahelre Bazar_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Kotmala_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Raghunagar_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Narayanpur_std,6.303825084,6.920249589,7.375620431,6.136314263,6.156275989,22.07406289,7.907914972,0.613782182,0.634497313,1.278823721,0.531643642,0.93414591,1.52027124,0.822642659
Meulapur_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Dhajari Pipal_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Tikapur_std,6.303825084,6.920249589,7.375620431,6.136314263,6.156275989,22.07406289,7.907914972,0.613782182,0.634497313,1.278823721,0.531643642,0.93414591,1.52027124,0.822642659
Jimala_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Bhajani Trishakti_std,6.303825084,6.920249589,7.375620431,6.136314263,6.156275989,22.07406289,7.907914972,0.613782182,0.634497313,1.278823721,0.531643642,0.93414591,1.52027124,0.822642659
Gola_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Sattekada_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Bheripur_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Satakhani_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Chandarichauki_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Pawera_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Dhakadam_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Guptipur_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Subhakuna_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Shree Rastriya Mavi_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Hasulia_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Uttarganga_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Katkuwa_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Ratu_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Bonia_std,6.303825084,6.920249589,7.375620431,6.136314263,6.156275989,22.07406289,7.907914972,0.613782182,0.634497313,1.278823721,0.531643642,0.93414591,1.52027124,0.822642659
Hariharpur_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Surkhet AIrport _std,5.652784944,6.653911894,6.996721193,5.469602481,5.62776697,22.79055444,8.218812006,0.440105158,0.563467854,1.137826761,0.468575002,0.743517027,1.326835809,0.664746422
Bame_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Kalagaun_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Parasan_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Najota_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Birendranagar-13_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Phulwari_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Pahalmanpur_std,6.703868296,7.114206468,7.693245774,6.493892775,6.619549337,22.58905973,8.800717062,0.660141591,0.841393614,1.52783122,0.672144833,1.339512311,1.841911383,1.14147012
Chhiwang_std,5.430293251,6.753561666,6.888477734,5.050366529,5.649006973,22.02742939,8.085980092,0.314453817,0.586361132,1.194180103,0.459712944,0.728691158,1.339907159,0.632288888
Teduha_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Laxmipur_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Kiratpur_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Chisapani_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
GaineKanda_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Dharapani II_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Punarbas_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Taranga_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Odaaltaal_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
Dharapani I_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Lekhfarsa_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Gahara_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Sema_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Bhoor_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Kalika_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Karari Park_std,6.706058722,7.116742414,7.695500774,6.494641506,6.622800547,22.56758367,8.951398033,0.660433814,0.842381566,1.529017666,0.672694304,1.340834477,1.843627874,1.142632179
Dhangad Gaun_std,6.3064812,6.922747284,7.378606316,6.137733666,6.159512252,22.04866068,8.016158927,0.61407401,0.635326021,1.279543947,0.53235323,0.935223709,1.521724933,0.82395968
piladi_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
Matela_std,5.653803617,6.656317416,6.997237375,5.469803576,5.62950935,22.79355159,8.497823384,0.440335426,0.56376562,1.137746669,0.469184736,0.743886,1.326895106,0.666042337
